"id";"nombre";"partido";"distrito"
"1164";"Sra. Marcela Riquelme";"IND";"15"
"948";"Sr. Gaspar Rivas";"PDG";"6"
"1068";"Sra. Camila Rojas";"COMUNES";"7"
"1165";"Sr. Agustín Romero";"PREP";"8"
"1069";"Sr. Leonidas Romero";"IND";"20"
"1166";"Sra. Natalia Romero";"IND";"15"
"1070";"Sr. Patricio Rosas";"IND";"24"
"1167";"Sr. Jaime Sáez";"RD";"26"
"1168";"Sr. Jorge Saffirio";"IND";"22"
"1169";"Sra. Clara Sagardia";"IND";"21"
"1170";"Sr. Luis Sánchez";"PREP";"7"
"1073";"Sr. Juan Santana";"PS";"4"
"1074";"Sra. Marisela Santibáñez";"PC";"14"
"953";"Sr. Frank Sauerbaum";"RN";"19"
"1075";"Sr. Diego Schalper";"RN";"15"
"1171";"Sra. Emilia Schneider";"PCS";"10"
"1172";"Sr. Stephan Schubert";"IND";"23"
"1076";"Sr. Alexis Sepúlveda";"PR";"17"
"1173";"Sra. Daniela Serrano";"PC";"12"
"1002";"Sr. Leonardo Soto";"PS";"14"
"1077";"Sr. Raúl Soto";"PPD";"15"
"1174";"Sr. Marco Antonio Sulantay";"UDI";"5"
"1175";"Sr. Cristián Tapia";"IND";"4"
"1176";"Sr. Hotuiti Teao";"IND";"7"
"1177";"Sra. Carolina Tello";"PC";"5"
"1003";"Sr. Renzo Trisotti";"UDI";"2"
"1178";"Sr. Héctor Ulloa";"IND";"26"
"1081";"Sr. Francisco Undurraga";"EVOP";"11"
"1179";"Sr. Alberto Undurraga";"DC";"8"
"1082";"Sr. Cristóbal Urruticoechea";"PREP";"21"
"1180";"Sra. Consuelo Veloso";"RD";"18"
"1181";"Sr. Nelson Venegas";"PS";"6"
"1182";"Sr. Sebastián Videla";"IND";"3"
"917";"Sr. Gastón Von Mühlenbrock";"UDI";"24"
"1183";"Sra. Flor Weisse";"UDI";"21"
"1086";"Sr. Gonzalo Winter";"PCS";"10"
"1087";"Sra. Gael Yeomans";"PCS";"13"
